barcode_id,nama_produk,image_url,status
8996001303733,Danisa Raisin,https://cdn.shopify.com/s/files/1/1520/9644/products/1_8412f58d-2def-40db-b85d-cc9053aeaf32_2048x2048.jpg?v=1556655790,BERHASIL
8996001303818,Danisa (isi 5),https://down-ph.img.susercontent.com/file/sg-11134201-7rd6y-m78s1dz15ir91b,BERHASIL
8996001303863,Danisa Butter Cookies,https://www.goshoppi.ae/libraries/image.php?quality=100&amp;&amp;image=https://www.goshoppi.ae/images/variants/Danisa-Butter-Cookies-750g.jpg,BERHASIL
8996001303870,Kopiko,https://m.media-amazon.com/images/I/610eJTzW1hL._SL1181_.jpg,BERHASIL
8996001303887,Kopiko Cappuccino,https://i5.walmartimages.com/seo/Kopiko-Cappuccino-Coffee-Candy-4-23-oz-Bag-1-Pack_6729b919-45ff-4c01-b347-95a4fea01526.a3e278e71d2d6c1681636f53925a68d3.jpeg,BERHASIL
8996001303894,Kopiko Blister,https://m.media-amazon.com/images/I/91xiLSwRG3L.jpg,BERHASIL
8996001303900,Kopiko Cappuccino Blister,https://down-my.img.susercontent.com/file/sg-11134201-7repr-m2hyk28qln7a01,BERHASIL
8996001303917,Kopiko (isi 50),https://i5.walmartimages.com/seo/Kopiko-Coffee-And-Cappuccino-Candy-In-Jar-Variety-Bundle-2-Pack-800G-28-2Oz-In-Bag_a74d8352-69da-438b-9191-c4d54f3f7eec.b5aa0df17881470795bf972122598072.jpeg,BERHASIL
8996001303924,Kopiko Cappuccino (isi 50),https://5.imimg.com/data5/SELLER/Default/2023/2/FW/FG/PJ/144328445/20230214-180429-500x500.jpg,BERHASIL
8996001304211,Malkist Crackers,https://grandlagunashop.com/wp-content/uploads/ROMA-MALKIST-CRACKERS-135G.jpg,BERHASIL
8996001304228,Danisa Butter Cookies,https://www.goshoppi.ae/libraries/image.php?quality=100&amp;&amp;image=https://www.goshoppi.ae/images/variants/Danisa-Butter-Cookies-750g.jpg,BERHASIL
8996001304235,Malkist Abon,https://img.lazcdn.com/g/p/3f4ecb919d5191c6d8b26947be753307.jpg_720x720q80.jpg,BERHASIL
8996001304242,Malkist Seaweed,https://grandlagunashop.com/wp-content/uploads/ROMA-MALKIST-CRACKERS-135G.jpg,BERHASIL
8996001304259,Malkist Chocolate,https://down-id.img.susercontent.com/file/id-11134201-23030-6d9arra2cvov28,BERHASIL
8996001304266,Malkist Cheese,https://m.media-amazon.com/images/I/71mk-RoK1ZL._SL1500_.jpg,BERHASIL
8996001304273,Malkist Cappuccino,https://smsupermall.in/product-img/INBISCO-MALKIST-CAPPUCCINO-138-1658389015.jpg,BERHASIL
8996001304280,Malkist Coconut,https://bakulanadelaide.com/wp-content/uploads/2020/05/Gery-Malkist-Coconut-110gr-.jpeg,BERHASIL
8996001304297,Malkist Crackers,https://grandlagunashop.com/wp-content/uploads/ROMA-MALKIST-CRACKERS-135G.jpg,BERHASIL
8996001304303,Malkist Abon,https://grandlagunashop.com/wp-content/uploads/ROMA-MALKIST-CRACKERS-135G.jpg,BERHASIL
8996001304310,Malkist Seaweed,https://grandlagunashop.com/wp-content/uploads/ROMA-MALKIST-CRACKERS-135G.jpg,BERHASIL
8996001304327,Malkist Chocolate,https://m.media-amazon.com/images/I/814y-uxfYfS.jpg,BERHASIL
